Club,PLD,HW,HD,HL,AW,AD,AL,GF,GA,GD,PTS
Tottenham,10,2,2,1,4,1,0,21,9,12,21
Liverpool,10,5,0,0,1,3,1,22,17,5,21
Chelsea,10,2,2,1,3,2,0,22,10,12,19
Leicester,10,2,0,3,4,0,1,19,14,5,18
West Ham,10,3,1,1,2,1,2,17,11,6,17
Southampton,10,3,0,2,2,2,1,19,16,3,17
Wolves,10,2,2,1,3,0,2,11,11,0,17
Everton,10,2,1,2,3,0,2,19,17,2,16
Man United,9,1,1,3,4,0,0,16,16,0,16
Aston Villa,9,2,0,3,3,0,1,20,13,7,15
Man City,9,2,1,1,2,2,1,15,11,4,15
Leeds,10,1,2,2,3,0,2,15,17,-2,14
Newcastle,10,2,0,3,2,2,1,12,15,-3,14
Arsenal,10,2,0,3,2,1,2,10,12,-2,13
Crystal Palace,10,2,1,2,2,0,3,12,15,-3,13
Brighton,10,0,3,2,2,1,2,14,16,-2,10
Fulham,10,1,0,4,1,1,3,11,19,-8,7
West Brom,10,1,2,2,0,1,4,7,18,-11,6
Burnley,9,1,0,3,0,2,3,4,17,-13,5
Sheffield United,10,0,1,4,0,0,5,4,16,-12,1
